Rk,Player,Pos,90s,xG,xAG,Cmp%,KP,SoT%,Succ%,Tkl%,Tkl+Int,Def 3rd,Clr,CrsPA
179,Billy Gilmour,MF,1.2,0.00,0.00,93.2,0.00,,,33.3,0.83,0.00,1.67,0.00
180,Degnand Gnonto,FWMF,6.0,0.18,0.13,66.3,1.33,36.4,33.3,28.6,1.83,0.33,0.83,0.33
181,Ben Godfrey,DF,2.3,0.47,0.04,79.3,0.43,0.0,50.0,50.0,3.04,2.17,0.87,0.00
182,Toti Gomes,DF,3.4,0.00,0.02,85.0,0.29,,,100.0,1.76,1.18,7.06,0.00
183,Joe Gomez,DF,11.3,0.01,0.01,83.9,0.09,0.0,80.0,60.0,3.54,1.06,3.01,0.00
184,Sergio Gómez,DFMF,1.2,0.11,0.33,81.8,1.67,0.0,,50.0,3.33,0.83,3.33,0.00
185,Anthony Gordon,FW,12.2,0.27,0.05,68.9,0.66,61.5,22.7,36.4,3.11,1.39,0.90,0.16
186,Demarai Gray,FWMF,18.7,0.20,0.14,68.4,1.39,38.9,25.5,66.7,1.39,0.16,0.80,0.32
187,Jack Grealish,FW,10.6,0.25,0.31,83.6,2.36,22.2,37.0,50.0,1.42,0.19,0.19,0.00
188,Sam Greenwood,MFFW,3.4,0.18,0.25,62.9,2.94,18.2,20.0,20.0,2.65,1.18,0.29,0.00
189,Pascal Groß,MFDF,18.2,0.18,0.28,75.2,2.14,50.0,23.1,50.0,2.25,0.77,0.33,0.11
190,Vicente Guaita,GK,20.0,0.00,0.00,72.6,0.00,,,,0.00,0.00,0.40,0.00
191,Gonçalo Guedes,FWMF,7.9,0.15,0.06,68.7,1.14,31.6,33.3,62.5,1.14,0.51,0.25,0.25
192,Marc Guéhi,DF,19.0,0.02,0.01,87.2,0.16,50.0,28.6,65.2,2.53,1.16,3.68,0.00
193,Bruno Guimarães,MF,15.5,0.06,0.12,81.6,1.16,35.7,43.5,58.6,3.87,0.65,0.84,0.06
194,İlkay Gündoğan,MF,13.8,0.24,0.18,87.3,2.03,25.8,26.1,52.9,2.39,0.14,0.65,0.00
195,Darko Gyabi,FW,0.1,0.72,0.00,100.0,0.00,0.0,0.0,,20.0,10.0,0.00,0.00
196,Erling Haaland,FW,17.2,0.98,0.17,73.8,0.93,51.4,38.5,0.0,0.23,0.00,0.47,0.00
197,Lewis Hall,DFMF,3.4,0.14,0.08,75.4,1.18,40.0,16.7,66.7,6.18,2.94,1.47,0.29
198,Luke Harris,MFFW,0.1,0.00,0.00,92.9,0.00,,,,0.00,0.00,0.00,0.00
199,Jack Harrison,FWMF,13.2,0.18,0.19,63.5,2.20,43.8,41.1,26.3,2.05,0.08,0.53,0.45
200,Kai Havertz,FWMF,15.7,0.34,0.09,79.7,1.15,45.9,25.8,37.5,1.85,0.19,1.66,0.06
201,Jan Paul van Hecke,DF,0.9,0.67,0.00,95.9,0.00,0.0,,100.0,6.67,1.11,2.22,0.00
202,Hwang Hee-chan,FW,7.2,0.06,0.12,77.3,0.83,50.0,37.5,45.5,1.53,0.56,0.42,0.14
203,Dean Henderson,GK,18.0,0.00,0.00,63.3,0.00,,,,0.00,0.00,0.67,0.00
204,Jordan Henderson,MF,9.9,0.06,0.11,81.6,1.31,25.0,28.6,44.4,2.32,0.40,0.51,0.30
205,Wayne Hennessey,GK,2.0,0.00,0.00,80.4,0.00,,,100.0,0.50,0.50,0.50,0.00
206,Rico Henry,DF,18.9,0.03,0.06,72.2,0.63,25.0,45.5,70.6,2.54,0.69,2.38,0.42
207,Son Heung-min,MFFW,17.3,0.28,0.18,71.5,1.85,49.0,31.7,27.3,1.33,0.17,0.23,0.17
208,Aaron Hickey,DF,7.5,0.01,0.00,79.8,0.13,33.3,28.0,57.1,4.00,1.60,1.47,0.13
209,Joseph Hodge,MF,1.9,0.06,0.03,79.3,0.53,0.0,,75.0,2.63,0.53,1.05,0.00
210,Rob Holding,DF,0.2,0.00,0.00,83.3,0.00,,,,5.00,5.00,5.00,0.00
211,Mason Holgate,DF,3.6,0.08,0.08,72.3,0.83,0.0,100.0,60.0,3.89,1.94,6.11,0.00
212,Will Hughes,MF,2.8,0.05,0.01,71.4,0.36,100.0,0.0,66.7,5.00,1.43,0.36,0.00
213,Omari Hutchinson,FW,0.3,0.00,0.00,66.7,0.00,,,,3.33,0.00,0.00,0.00
214,Pierre Højbjerg,MF,19.8,0.07,0.09,88.4,0.96,31.8,73.3,61.5,3.03,0.86,1.67,0.25
215,Kelechi Iheanacho,FWMF,3.3,0.48,0.20,78.8,2.73,25.0,27.3,0.0,0.00,0.00,0.30,0.00
216,Danny Ings,FW,0.2,0.00,0.88,60.0,5.00,,0.0,,10.0,0.00,0.00,0.00
217,Danny Ings,FW,9.2,0.59,0.13,70.4,0.98,48.0,60.0,25.0,1.20,0.11,1.20,0.00
218,Alexander Isak,FW,3.2,1.01,0.15,68.2,1.56,77.8,18.2,50.0,1.56,0.00,0.31,0.00
219,Alex Iwobi,MF,19.8,0.06,0.14,79.7,1.52,27.8,43.2,57.7,2.63,1.06,0.96,0.30
220,Daniel James,FW,2.2,0.12,0.15,60.0,0.45,33.3,16.7,50.0,3.64,0.45,0.91,0.45
221,Daniel James,FW,4.0,0.33,0.08,65.0,1.00,20.0,14.3,50.0,1.25,0.25,1.00,0.25
222,Reece James,DFMF,6.8,0.12,0.23,85.4,1.32,33.3,42.9,77.8,3.53,0.74,1.47,0.29
223,Vitaly Janelt,MFDF,14.7,0.13,0.05,79.1,0.54,50.0,46.7,58.6,3.74,1.16,1.43,0.27
